DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/db/__init__.py first seen with mtime 1728046927.4488518
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/views/decorators/cache.py first seen with mtime 1728046927.5107062
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/template/loader.py first seen with mtime 1728046927.489404
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/_testing/_warnings.py first seen with mtime 1729027988.5256484
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/template/loaders/__init__.py first seen with mtime 1728046927.4912155
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/_libs/window/indexers.cpython-38-darwin.so first seen with mtime 1729027988.580855
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/reprlib.py first seen with mtime 1695035378.9969008
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/sqlparse/exceptions.py first seen with mtime 1728046926.553126
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/core/array_algos/quantile.py first seen with mtime 1729027988.2359285
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/importlib/abc.py first seen with mtime 1695035380.4581068
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/core/indexes/base.py first seen with mtime 1729027988.2638671
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/dateutil/parser/isoparser.py first seen with mtime 1729027635.0226676
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/contrib/staticfiles/apps.py first seen with mtime 1728046927.4270136
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/template/context.py first seen with mtime 1728046927.4881415
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/db/migrations/operations/utils.py first seen with mtime 1728046927.464875
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/numpy/core/multiarray.py first seen with mtime 1729027986.8679566
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/email/errors.py first seen with mtime 1695035380.9745324
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/_weakrefset.py first seen with mtime 1695035378.866844
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/core/files/__init__.py first seen with mtime 1728046927.4356477
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/rest_framework/request.py first seen with mtime 1728047727.0822933
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/pickle.py first seen with mtime 1695035378.9718683
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/json/decoder.py first seen with mtime 1695035381.1266518
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/apps/__init__.py first seen with mtime 1728046926.613102
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/core/interchange/dataframe_protocol.py first seen with mtime 1729027988.2378433
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/core/checks/registry.py first seen with mtime 1728046927.4340937
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/random.py first seen with mtime 1695035378.9944713
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/logging/config.py first seen with mtime 1695035381.2106345
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/utils/numberformat.py first seen with mtime 1728046927.5050352
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/numpy/polynomial/_polybase.py first seen with mtime 1729027987.0671654
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/core/array_algos/take.py first seen with mtime 1729027988.2365491
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/core/algorithms.py first seen with mtime 1729027988.22264
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/utils/connection.py first seen with mtime 1728046927.497304
DEBUG 2024-10-17 14:29:23,796 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/numpy/random/_sfc64.cpython-38-darwin.so first seen with mtime 1729027987.051225
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/contrib/__init__.py first seen with mtime 1728046926.6907163
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/rest_framework/utils/html.py first seen with mtime 1728047727.1333115
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/http/__init__.py first seen with mtime 1695035381.162771
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/core/indexes/range.py first seen with mtime 1729027988.2614708
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/core/arrays/interval.py first seen with mtime 1729027988.2530932
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/asgiref/sync.py first seen with mtime 1728046926.578916
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/core/util/numba_.py first seen with mtime 1729027988.2352664
